filepath,target_class,fold
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (5).jpg,brown_spot,3
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (6).JPG,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (7).JPG,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (8).JPG,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (9).JPG,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (1).JPG,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (10).JPG,brown_spot,4
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (11).JPG,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (12).JPG,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (13).JPG,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (14).JPG,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (15).JPG,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (16).JPG,brown_spot,4
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (17).JPG,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (18).JPG,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (19).JPG,brown_spot,4
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (2).jpg,brown_spot,3
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (20).jpg,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (21).jpg,brown_spot,4
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (22).jpg,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (23).jpg,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (24).jpg,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (25).jpg,brown_spot,3
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (26).JPG,brown_spot,3
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (27).JPG,brown_spot,3
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (3).jpg,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (4).jpg,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (5).jpg,brown_spot,4
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (6).JPG,brown_spot,3
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (7).JPG,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (8).JPG,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (9).JPG,brown_spot,4
C:\Users\krsan\Desktop\crop\dataset soybean\crestamento\1.jpg,crestamento,4
C:\Users\krsan\Desktop\crop\dataset soybean\crestamento\2.JPG,crestamento,4
C:\Users\krsan\Desktop\crop\dataset soybean\crestamento\3.JPG,crestamento,2
C:\Users\krsan\Desktop\crop\dataset soybean\crestamento\4.jpg,crestamento,0
C:\Users\krsan\Desktop\crop\dataset soybean\crestamento\5.jpg,crestamento,3
C:\Users\krsan\Desktop\crop\dataset soybean\crestamento\1.jpg,crestamento,0
C:\Users\krsan\Desktop\crop\dataset soybean\crestamento\2.JPG,crestamento,1
C:\Users\krsan\Desktop\crop\dataset soybean\crestamento\3.JPG,crestamento,2
C:\Users\krsan\Desktop\crop\dataset soybean\crestamento\4.jpg,crestamento,1
C:\Users\krsan\Desktop\crop\dataset soybean\crestamento\5.jpg,crestamento,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0006.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0008.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0009.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0010.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0011.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0013.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0014.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0015.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0016.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0017.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0018.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0019.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0020.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0022.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0024.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0025.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0026.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0027.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0028.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0030.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0031.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0032.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0033.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0034.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0035.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0036.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0037.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0038.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0039.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0040.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0041.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0042.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0043.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0044.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0045.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0048.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0049.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0050.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0055.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0056.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0057.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0058.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0136.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0139.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0140.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0141.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0142.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0143.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0144.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0145.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0147.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0148.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0149.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0151.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0153.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0155.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0157.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0158.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0159.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0162.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0164.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0165.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0169.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0170.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0172.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0006.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0008.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0009.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0010.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0011.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0013.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0014.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0015.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0016.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0017.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0018.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0019.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0020.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0022.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0024.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0025.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0026.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0027.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0028.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0030.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0031.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0032.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0033.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0034.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0035.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0036.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0037.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0038.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0039.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0040.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0041.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0042.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0043.jpg,ferrugen,3
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0044.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0045.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0048.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0049.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0050.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0055.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0056.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0057.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0058.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0136.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0139.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0140.jpg,ferrugen,0
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0141.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0142.jpg,ferrugen,2
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0143.jpg,ferrugen,4
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0144.jpg,ferrugen,1
C:\Users\krsan\Desktop\crop\dataset soybean\ferrugen\DSC_0145.jpg,ferrugen,0
